"","ST_CASE","OBJECT_ID","FID","LATITUDE","LONGITUD","PERMVIT","PERSONS","MONTH","DAY_WEEK","HOUR","ROUTE","SP_JUR","HARM_EV","RELJCT1","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","STATE_NAME","drunkDr"
"82",10082,1,27599,30.43372222,-87.6492,1,1,2,3,21,6,0,1,0,1,1,0,4,2,1,1,1,2,2,2,1,1,2,2,2,1,2,3,2,2,2,2,2,2,"Alabama",0
"83",10083,1,19695,34.74899444,-86.79623056,4,4,3,1,3,2,0,12,0,2,2,0,1,3,1,4,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,"Alabama",2
"84",10084,1,23764,33.234175,-87.63861667,3,3,3,1,10,2,0,12,0,2,2,0,1,1,1,1,1,2,2,1,2,3,2,1,2,2,2,1,2,1,2,2,2,2,"Alabama",1
"85",10085,1,22976,33.56501111,-85.86320556,1,1,3,1,13,3,0,34,0,1,1,0,4,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,"Alabama",1
"86",10086,1,19635,34.77878611,-86.65703889,4,4,3,1,17,6,0,12,0,2,2,0,1,3,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,"Alabama",1
"87",10087,1,20089,34.54287222,-86.15238889,2,2,3,3,12,3,0,42,0,1,1,0,4,1,2,2,1,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,"Alabama",0
"88",10088,1,22167,33.80393333,-87.12784444,1,1,3,3,19,2,0,8,0,1,1,0,1,2,2,1,1,1,2,2,1,1,2,2,1,2,2,3,1,2,2,2,2,2,"Alabama",0
"89",10089,1,27124,30.74889167,-88.13165833,1,1,3,3,18,4,0,42,0,1,1,0,4,2,1,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,"Alabama",1
"90",10090,1,23180,33.49488056,-86.86086944,2,2,3,5,18,6,0,8,0,1,1,0,1,3,10,1,1,2,2,2,1,2,2,2,1,2,2,3,2,2,2,2,2,2,"Alabama",0
"91",10091,1,27137,30.73507222,-88.08218056,4,4,3,3,10,3,0,12,0,2,2,0,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,3,1,2,2,2,2,2,"Alabama",0
"92",10092,1,25085,32.61657222,-85.37138889,3,3,3,1,19,2,0,1,0,2,3,0,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,3,1,2,2,2,2,2,"Alabama",0
"93",10093,1,23021,33.54760278,-86.62523889,3,3,3,2,5,1,0,12,0,1,1,0,1,3,2,2,1,2,1,2,2,3,2,1,2,2,2,3,2,2,2,2,2,2,"Alabama",0
"94",10094,1,26752,31.20380833,-87.31095556,1,1,3,6,20,1,0,21,1,19,1,0,3,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,"Alabama",0
"95",10095,1,25674,32.28422222,-86.34324444,15,15,3,2,8,1,0,12,0,1,1,0,1,1,5,3,1,1,1,1,1,3,2,2,2,1,2,3,2,2,2,2,2,2,"Alabama",0
"96",10096,1,25688,32.27369722,-86.98918611,1,1,3,6,13,4,0,42,0,3,3,0,4,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,"Alabama",1
